NNR HeNR MRCI1
1.5 3.95 -3036.1207118671027
1.5 4.05 -3036.1201921294373
1.5 4.15 -3036.1195635461877
1.5 4.25 -3036.119013875986
1.5 4.35 -3036.118464205785
1.5 4.45 -3036.117968958376
1.5 4.55 -3036.1175526240154
1.5 4.65 -3036.1171226839574
1.5 4.75 -3036.1167743780875
1.5 4.85 -3036.116426072217
1.5 4.95 -3036.116132189139
1.5 5.05 -3036.115854632899
1.5 5.15 -3036.1155988457754
1.5 5.25 -3036.1153702700485
1.5 5.35 -3036.115166184578
1.5 5.45 -3036.1149757048047
1.5 5.55 -3036.114823320987
1.5 5.65 -3036.11466277375
1.5 5.75 -3036.114526716769
1.6 1.5 -3020.781062840517
1.6 1.6 -3025.7693308011467
1.6 1.7000000000000002 -3028.628086604643
1.6 1.8 -3030.577312378056
1.6 1.9000000000000001 -3032.0373860951745
1.6 2 -3033.121776556597
1.6 2.1 -3033.9050348242185
1.6 2.2 -3034.461763661587
1.6 2.3 -3034.852728837333
1.6 2.4000000000000004 -3035.121577430801
1.6 2.5 -3035.2984569477303
1.6 2.6 -3035.403403139069
1.6 2.7 -3035.4478257432024
1.6 2.8 -3035.4350772041294
1.6 2.9000000000000004 -3035.3623710748902
1.6 3 -3035.226929071942
1.6 3.0999999999999996 -3035.027099463542
1.6 3.2 -3035.1921175329107
1.6 3.3 -3035.2887560850204
1.6 3.4000000000000004 -3035.335521590358
1.6 3.5 -3035.3604064120914
1.6 3.5999999999999996 -3035.385089869494
1.6 3.7 -3035.3899389402786
1.6 3.8 -3035.387723932636
1.6 3.9000000000000004 -3035.3930328760152
1.6 4 -3035.391389307691
1.6 4.1 -3035.391854622564
1.6 4.2 -3035.3918491802847
1.6 4.3 -3035.3917022387463
1.6 4.4 -3035.391389307691
1.6 4.5 -3035.391027396123
1.6 4.6 -3035.3906328308794
1.6 4.7 -3035.3903226209636
1.6 4.8 -3035.3899144500224
1.6 4.8999999999999995 -3035.3896641051783
1.6 5 -3035.3893457318436
1.6 5.1 -3035.389108992698
1.6 5.2 -3035.3886763314995
1.6 5.3 -3035.388507620844
1.6 5.3999999999999995 -3035.3882110166264
1.6 5.5 -3035.3880776807855
1.6 5.6 -3035.387830057081
1.6 5.7 -3035.3876613464254
1.6 5.8 -3035.3874572609543
1.7 1.5499999999999998 -3020.915416387621
1.7 1.65 -3025.797804806026
1.7 1.75 -3028.47733274911
1.7 1.85 -3030.208921776514
1.7 1.9500000000000002 -3031.4923064564764
1.7 2.05 -3032.4712609214303
1.7 2.15 -3033.1998242828913
1.7 2.25 -3033.7284056521335
1.7 2.35 -3034.1043637429307
