"R [A]" "MRCI1 [eV]" "MRCI2 [eV]" "MRCI3 [eV]" "MRCI4 [eV]" "MRCI5 [eV]" "MRCI6 [eV]" "MRCI7 [eV]"
2.7 -2952.241455495291 -2950.0150027395516 -2949.9921614936648 -2949.841464782063 -2949.4998610788425 -2948.4542740682587 -2948.4293402660123
2.75 -2952.2190142569275 -2949.9802510655923 -2949.9620983432537 -2949.805757988101 -2949.524887399836 -2948.453351601931 -2948.436494142047
2.8 -2952.199696886836 -2949.9468300289022 -2949.93239982555 -2949.7725219889044 -2949.545973510674 -2948.452254982668 -2948.4410411663353
2.85 -2952.183195896241 -2949.9147750042966 -2949.9033298910963 -2949.7417731113114 -2949.5633153334084 -2948.4507665193014 -2948.4435037976823
2.9 -2952.1692146809246 -2949.8841240877296 -2949.8750980676427 -2949.713481422786 -2949.577182260861 -2948.448790971944 -2948.4442983704485
2.95 -2952.1574729635076 -2949.8549099328766 -2949.8478621812865 -2949.687581615978 -2949.5878790606675 -2948.4463201771787 -2948.4437568636663
3 -2952.146909499542 -2949.823829076251 -2949.818520132872 -2949.6593144177095 -2949.592951264901 -2948.437002995154 -2948.435721338398
3.05 -2952.139080780884 -2949.7975374253388 -2949.793586330625 -2949.638051432797 -2949.5984915051467 -2948.4332831973074 -2948.432951218275
3.1 -2952.1327459678714 -2949.7727043052582 -2949.76990153146 -2949.6188320237316 -2949.6018711605425 -2948.4295253035057 -2948.42921781473
3.15 -2952.127687369337 -2949.749310668031 -2949.747490225632 -2949.603389556445 -2949.6015065278348 -2948.4255932567694 -2948.4248721547724
3.2 -2952.123711784366 -2949.727326581122 -2949.726355134281 -2949.6033215279544 -2949.585917119009 -2948.421288413906 -2948.4203006402277
3.25 -2952.1206423388862 -2949.7067085062968 -2949.7064880939884 -2949.6019201410554 -2949.5719168557157 -2948.416711457082 -2948.4155685784463
3.3 -2952.118329370218 -2949.6878673356373 -2949.687412905322 -2949.5994058080555 -2949.5593587964154 -2948.411949462765 -2948.4107222288008
3.35 -2952.1166395425203 -2949.6704629266915 -2949.6693880765456 -2949.5959826144267 -2949.548101441849 -2948.4070704594437 -2948.4058105718045
3.4 -2952.115458567929 -2949.6542394923367 -2949.6525795971747 -2949.5918192708227 -2949.5380223407333 -2948.4021343121913 -2948.400874424552
3.45 -2952.1146884854197 -2949.6391562154786 -2949.636922159859 -2949.5870627187846 -2949.5289935995074 -2948.39719000152 -2948.3959518829975
3.5 -2952.114247660803 -2949.625172279023 -2949.6223613418056 -2949.581832688454 -2949.5209063725865 -2948.3922729022447 -2948.391072879677
3.55 -2952.1140626233096 -2949.612249587015 -2949.6088318356647 -2949.576232583137 -2949.513659977805 -2948.3874211103202 -2948.3862673471253
