"""HeNR (Jacobi)"" 	NNR 	MRCI1"
"3.5500000000000003 	4.9 	-3026.4008855355105"
"1.5499999999999998 	0.7 	-2980.4265134437037"
"1.6 	0.8 	-3004.1961414153457"
"1.65 	0.9 	-3017.1625077139765"
"1.7 	1 	-3023.8549029610667"
"1.75 	1.1 	-3027.3896986892714"
"1.7999999999999998 	1.2 	-3028.9007148610294"
"1.85 	1.3 	-3029.401763739698"
"1.9 	1.4 	-3029.4064440998272"
"1.95 	1.5 	-3029.2774593611734"
"2.05 	1.7 	-3028.9339671870634"
"2.1 	1.8 	-3028.807061399072"
"2.15 	1.9 	-3028.7753274689403"
"2.2 	2 	-3026.977059636532"
"2.25 	2.1 	-3027.010507884618"
"2.3 	2.2 	-3027.0331640930112"
"2.3499999999999996 	2.3 	-3027.0446445810258"
"2.45 	2.5 	-3027.0427833215326"
"2.5 	2.6 	-3027.034236222017"
"2.55 	2.7 	-3027.0230931553147"
"2.5999999999999996 	2.8 	-3027.010605845644"
"2.65 	2.9 	-3026.9976396154025"
"2.7 	3 	-3026.984776788466"
"2.8 	3.2 	-3026.9606647703818"
"2.8499999999999996 	3.3 	-3026.949717625731"
"2.9 	3.4 	-3026.939559611567"
"2.95 	3.5 	-3026.9301471896556"
"3 	3.6 	-3026.921428658345"
"3.05 	3.7 	-3026.9133359891453"
"3.0999999999999996 	3.8 	-3026.9057984324254"
"3.45 	4.5 	-3026.8648833772495"
"3.55 	4.7 	-3026.85608865403"
"3.5999999999999996 	4.8 	-3026.852055925128"
"3.6500000000000004 	4.9 	-3026.8482408873947"
"3.7 	5 	-3026.8446272139927"
"1.65 	0.7 	-2981.1171468401403"
"1.75 	0.9 	-3017.8825049279444"
"1.8 	1 	-3024.616155372662"
"1.85 	1.1 	-3028.1823530519664"
"1.9 	1.2 	-3029.7123464513647"
"1.9500000000000002 	1.3 	-3030.1808368945995"
"2 	1.4 	-3030.255872319345"
"2.05 	1.5 	-3030.1024109298996"
"2.1 	1.6 	-3029.873663770864"
"2.15 	1.7 	-3029.6464731036854"
"2.2 	1.8 	-3029.4448393797243"
"2.25 	1.9 	-3029.3109348206553"
"2.3 	2 	-3029.2747246158656"
"2.35 	2.1 	-3027.2898138176074"
"2.4000000000000004 	2.2 	-3027.29747110447"
"2.45 	2.3 	-3027.302663038846"
"2.55 	2.5 	-3027.3014983910925"
"2.6 	2.6 	-3027.296537753584"
"2.6500000000000004 	2.7 	-3027.2899226631916"
"2.7 	2.8 	-3027.282420481287"
"2.75 	2.9 	-3027.2745890414894"
"2.8 	3 	-3027.2668283513217"
"2.85 	3.1 	-3027.2593860344887"
"2.95 	3.3 	-3027.2459463259543"
"3 	3.4 	-3027.2400087993256"
"3.05 	3.5 	-3027.234555635547"
"3.1 	3.6 	-3027.2295460175255"
"3.1500000000000004 	3.7 	-3027.2249146379086"
"3.4000000000000004 	4.2 	-3027.2060598615512"
"1.75 	0.7 	-2981.4422032933926"
"1.7999999999999998 	0.8 	-3005.188355993619"
"1.8499999999999999 	0.9 	-3018.2765830874046"
"1.9 	1 	-3025.0806865577647"
"1.95 	1.1 	-3028.684316233544"
"2 	1.2 	-3030.214818486049"
"2.05 	1.3 	-3030.752453086774"
"2.0999999999999996 	1.4 	-3030.833725363506"
"2.15 	1.5 	-3030.672337294376"
"2.2 	1.6 	-3030.422215583704"
"2.3499999999999996 	1.9 	-3029.708798085313"
"2.4 	2 	-3029.6050083783084"
"2.45 	2.1 	-3027.508623374787"
"2.5 	2.2 	-3027.502549791178"
"2.55 	2.3 	-3027.5020763128855"
"2.5999999999999996 	2.4 	-3027.502212369866"
"2.65 	2.5 	-3027.501401470262"
"2.7 	2.6 	-3027.4994395286035"
"2.75 	2.7 	-3027.496582332013"
"2.8 	2.8 	-3027.4931781863606"
"2.8499999999999996 	2.9 	-3027.489534580423"
"2.9 	3 	-3027.485893695625"
"2.95 	3.1 	-3027.4824188003427"
"3 	3.2 	-3027.479207855603"
"3.05 	3.3 	-3027.476290793941"
"3.0999999999999996 	3.4 	-3027.473662173078"
"3.15 	3.5 	-3027.471297502757"
"3.2 	3.6 	-3027.4691559658836"
"3.25 	3.7 	-3027.467199466504"
"3.3 	3.8 	-3027.4653844663844"
"3.3499999999999996 	3.9 	-3027.463710965524"
"3.4 	4 	-3027.46213270455"
"1.85 	0.7 	-2981.48603813137"
"1.9 	0.8 	-3005.33208386668"
"1.95 	0.9 	-3018.4792508444175"
"2 	1 	-3025.4670774978263"
"2.05 	1.1 	-3029.010240730332"
"2.1 	1.2 	-3030.505713752637"
"2.15 	1.3 	-3031.1379841467187"
"2.2 	1.4 	-3031.2273164389753"
"2.25 	1.5 	-3031.064314734057"
"2.3 	1.6 	-3030.8040594994777"
